abandoned_at_ordering,abandoned_at_seating,average_ordering_wait_time,average_wait_time,description,kind,longest_queue_length,max_queue_length_queue_1_2,max_queue_length_queue_3_4,max_queue_length_queue_5plus,max_queue_length_queue_all,max_wait_time,min_wait_time,output_file,pair_id,peak_ordering_queue_length,peak_seating_queue_length,rejected_groups,reservation_groups_served,reservation_no_shows,reservation_tables_released,run_id,scenario_file,seed,served_groups,server_utilization_rate,service_level_rate,table_utilization_rate,table_utilization_size_2,table_utilization_size_4,table_utilization_size_6
3.0,13.0,0.16666666666666666,5.583333333333333,Ordering configuration x patience.,factorial,5.0,,,,5.0,15.0,2.0,outputs/v2/F3/F3_B_seed42.txt,F3,2.0,5.0,16.0,0.0,0.0,0.0,B,outputs/v2/F3/F3_B_seed42.json,42,24.0,0.21243523316062177,1.0,0.5910721402949383,0.5917098445595855,0.5993091537132987,0.5647668393782384
0.0,12.0,0.10714285714285714,14.392857142857142,Ordering configuration x patience.,factorial,13.0,,,,13.0,43.0,2.0,outputs/v2/F3/F3_C_seed42.txt,F3,1.0,13.0,12.0,0.0,0.0,0.0,C,outputs/v2/F3/F3_C_seed42.json,42,28.0,0.20772946859903382,0.5714285714285714,0.6521739130434783,0.6985507246376812,0.5909822866344605,0.7198067632850241
0.0,12.0,0.14285714285714285,14.0,Ordering configuration x patience.,factorial,13.0,,,,12.0,36.0,2.0,outputs/v2/F3/F3_D_seed42.txt,F3,2.0,12.0,12.0,0.0,0.0,0.0,D,outputs/v2/F3/F3_D_seed42.json,42,28.0,0.18666666666666668,0.6071428571428571,0.6061538461538462,0.6426666666666667,0.597037037037037,0.5422222222222223
5.0,15.0,0.15,4.7,Ordering configuration x patience.,factorial,8.0,,,,8.0,14.0,2.0,outputs/v2/F3/F3_A_seed123.txt,F3,2.0,8.0,20.0,0.0,0.0,0.0,A,outputs/v2/F3/F3_A_seed123.json,123,20.0,0.21042830540037244,1.0,0.5560807907176623,0.6089385474860335,0.542830540037244,0.46368715083798884
6.0,15.0,0.05263157894736842,4.315789473684211,Ordering configuration x patience.,factorial,7.0,,,,7.0,13.0,2.0,outputs/v2/F3/F3_B_seed123.txt,F3,2.0,7.0,21.0,0.0,0.0,0.0,B,outputs/v2/F3/F3_B_seed123.json,123,19.0,0.19722222222222222,1.0,0.5158119658119659,0.51,0.5388888888888889,0.46111111111111114
0.0,14.0,0.19230769230769232,14.923076923076923,Ordering configuration x patience.,factorial,16.0,,,,16.0,43.0,2.0,outputs/v2/F3/F3_C_seed123.txt,F3,1.0,16.0,14.0,0.0,0.0,0.0,C,outputs/v2/F3/F3_C_seed123.json,123,26.0,0.19636963696369636,0.6153846153846154,0.6245239908606245,0.6445544554455446,0.6361386138613861,0.5396039603960396
0.0,15.0,0.04,12.48,Ordering configuration x patience.,factorial,17.0,,,,16.0,41.0,2.0,outputs/v2/F3/F3_D_seed123.txt,F3,1.0,16.0,15.0,0.0,0.0,0.0,D,outputs/v2/F3/F3_D_seed123.json,123,25.0,0.19791666666666666,0.72,0.6362179487179487,0.6885416666666667,0.6154513888888888,0.5677083333333334
2.0,18.0,0.05,6.8,Ordering configuration x patience.,factorial,8.0,,,,7.0,20.0,2.0,outputs/v2/F3/F3_A_seed999.txt,F3,1.0,7.0,20.0,0.0,0.0,0.0,A,outputs/v2/F3/F3_A_seed999.json,999,20.0,0.25,1.0,0.5541958041958042,0.5068181818181818,0.6401515151515151,0.4147727272727273
5.0,16.0,0.05263157894736842,7.526315789473684,Ordering configuration x patience.,factorial,7.0,,,,7.0,19.0,3.0,outputs/v2/F3/F3_B_seed999.txt,F3,2.0,7.0,21.0,0.0,0.0,0.0,B,outputs/v2/F3/F3_B_seed999.json,999,19.0,0.2346368715083799,1.0,0.5272883541039965,0.4983240223463687,0.5847299813780261,0.4273743016759777
0.0,14.0,0.15384615384615385,15.615384615384615,Ordering configuration x patience.,factorial,14.0,,,,13.0,36.0,2.0,outputs/v2/F3/F3_C_seed999.txt,F3,1.0,13.0,14.0,0.0,0.0,0.0,C,outputs/v2/F3/F3_C_seed999.json,999,26.0,0.21739130434782608,0.5384615384615384,0.6179858788554441,0.5951690821256038,0.6400966183574879,0.6086956521739131
