abandoned_at_ordering_max,abandoned_at_ordering_mean,abandoned_at_ordering_min,abandoned_at_ordering_range,abandoned_at_seating_max,abandoned_at_seating_mean,abandoned_at_seating_min,abandoned_at_seating_range,average_ordering_wait_time_max,average_ordering_wait_time_mean,average_ordering_wait_time_min,average_ordering_wait_time_range,average_wait_time_max,average_wait_time_mean,average_wait_time_min,average_wait_time_range,description,kind,longest_queue_length_max,longest_queue_length_mean,longest_queue_length_min,longest_queue_length_range,max_queue_length_queue_1_2_max,max_queue_length_queue_1_2_mean,max_queue_length_queue_1_2_min,max_queue_length_queue_1_2_range,max_queue_length_queue_3_4_max,max_queue_length_queue_3_4_mean,max_queue_length_queue_3_4_min,max_queue_length_queue_3_4_range,max_queue_length_queue_5plus_max,max_queue_length_queue_5plus_mean,max_queue_length_queue_5plus_min,max_queue_length_queue_5plus_range,max_queue_length_queue_all_max,max_queue_length_queue_all_mean,max_queue_length_queue_all_min,max_queue_length_queue_all_range,max_wait_time_max,max_wait_time_mean,max_wait_time_min,max_wait_time_range,min_wait_time_max,min_wait_time_mean,min_wait_time_min,min_wait_time_range,pair_id,peak_ordering_queue_length_max,peak_ordering_queue_length_mean,peak_ordering_queue_length_min,peak_ordering_queue_length_range,peak_seating_queue_length_max,peak_seating_queue_length_mean,peak_seating_queue_length_min,peak_seating_queue_length_range,rejected_groups_max,rejected_groups_mean,rejected_groups_min,rejected_groups_range,reservation_groups_served_max,reservation_groups_served_mean,reservation_groups_served_min,reservation_groups_served_range,reservation_no_shows_max,reservation_no_shows_mean,reservation_no_shows_min,reservation_no_shows_range,reservation_tables_released_max,reservation_tables_released_mean,reservation_tables_released_min,reservation_tables_released_range,run_id,seed_count,served_groups_max,served_groups_mean,served_groups_min,served_groups_range,server_utilization_rate_max,server_utilization_rate_mean,server_utilization_rate_min,server_utilization_rate_range,service_level_rate_max,service_level_rate_mean,service_level_rate_min,service_level_rate_range,table_utilization_rate_max,table_utilization_rate_mean,table_utilization_rate_min,table_utilization_rate_range,table_utilization_size_2_max,table_utilization_size_2_mean,table_utilization_size_2_min,table_utilization_size_2_range,table_utilization_size_4_max,table_utilization_size_4_mean,table_utilization_size_4_min,table_utilization_size_4_range,table_utilization_size_6_max,table_utilization_size_6_mean,table_utilization_size_6_min,table_utilization_size_6_range
0.0,0.0,0.0,0.0,14.0,13.333333333333334,12.0,2.0,0.19230769230769232,0.15109890109890112,0.10714285714285714,0.08516483516483518,15.615384615384615,14.977106227106226,14.392857142857142,1.2225274725274726,Ordering configuration x patience.,factorial,16.0,14.333333333333334,13.0,3.0,,,,,,,,,,,,,16.0,14.0,13.0,3.0,43.0,40.666666666666664,36.0,7.0,2.0,2.0,2.0,0.0,F3,1.0,1.0,1.0,0.0,16.0,14.0,13.0,3.0,14.0,13.333333333333334,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,3,28.0,26.666666666666668,26.0,2.0,0.21739130434782608,0.20716346997018542,0.19636963696369636,0.021021667384129722,0.6153846153846154,0.575091575091575,0.5384615384615384,0.07692307692307698,0.6521739130434783,0.631561260919849,0.6179858788554441,0.03418803418803418,0.6985507246376812,0.6460914207362766,0.5951690821256038,0.10338164251207738,0.6400966183574879,0.6224058396177782,0.5909822866344605,0.04911433172302737,0.7198067632850241,0.6227021252849922,0.5396039603960396,0.1802028028889845
0.0,0.0,0.0,0.0,15.0,13.666666666666666,12.0,3.0,0.14285714285714285,0.08659340659340659,0.04,0.10285714285714284,17.076923076923077,14.51897435897436,12.48,4.596923076923076,Ordering configuration x patience.,factorial,17.0,15.0,13.0,4.0,,,,,,,,,,,,,16.0,14.0,12.0,4.0,41.0,38.333333333333336,36.0,5.0,3.0,2.3333333333333335,2.0,1.0,F3,2.0,1.3333333333333333,1.0,1.0,16.0,14.0,12.0,4.0,15.0,13.666666666666666,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,3,28.0,26.333333333333332,25.0,3.0,0.20266990291262135,0.19575107874865155,0.18666666666666668,0.016003236245954677,0.72,0.6218681318681318,0.5384615384615384,0.18153846153846154,0.6362179487179487,0.6219904987137996,0.6061538461538462,0.030064102564102524,0.6885416666666667,0.6353218716289105,0.574757281553398,0.11378438511326872,0.6432038834951457,0.6185641031403571,0.597037037037037,0.046166846458108646,0.6868932038834952,0.5989412531463503,0.5422222222222223,0.1446709816612729
9.0,6.0,4.0,5.0,16.0,12.666666666666666,11.0,5.0,0.6,0.4722222222222222,0.4,0.19999999999999996,7.15,5.761111111111111,5.05,2.1000000000000005,Server count x patience.,factorial,8.0,7.0,6.0,2.0,,,,,,,,,,,,,6.0,5.666666666666667,5.0,1.0,20.0,16.666666666666668,14.0,6.0,2.0,2.0,2.0,0.0,F4,4.0,3.0,2.0,2.0,6.0,5.666666666666667,5.0,1.0,20.0,18.666666666666668,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,3,24.0,21.333333333333332,20.0,4.0,0.3693181818181818,0.3251315235690236,0.28055555555555556,0.08876262626262627,1.0,1.0,1.0,0.0,0.5941506410256411,0.5641211797461797,0.544017094017094,0.05013354700854711,0.6055555555555555,0.5690551346801347,0.5068181818181818,0.09873737373737368,0.6024305555555556,0.5724992985409653,0.5203703703703704,0.08206018518518521,0.5677083333333334,0.526651936026936,0.46111111111111114,0.10659722222222223
5.0,2.6666666666666665,1.0,4.0,18.0,16.0,15.0,3.0,0.0,0.0,0.0,0.0,6.75,5.236111111111111,4.458333333333333,2.291666666666667,Server count x patience.,factorial,9.0,7.666666666666667,6.0,3.0,,,,,,,,,,,,,8.0,7.0,6.0,2.0,20.0,16.666666666666668,14.0,6.0,2.0,2.0,2.0,0.0,F4,2.0,1.3333333333333333,1.0,1.0,8.0,7.0,6.0,2.0,20.0,18.666666666666668,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B,3,24.0,21.333333333333332,20.0,4.0,0.1875,0.16997677077604423,0.15921787709497207,0.028282122905027934,1.0,1.0,1.0,0.0,0.5910721402949383,0.5671162450694682,0.5541958041958042,0.0368763360991341,0.6089385474860335,0.569155524621267,0.5068181818181818,0.10212036566785165,0.6401515151515151,0.5940970696340193,0.542830540037244,0.09732097511427118,0.5647668393782384,0.48107557249631816,0.4147727272727273,0.14999411210551106
0.0,0.0,0.0,0.0,15.0,13.666666666666666,12.0,3.0,1.52,0.9938461538461538,0.5,1.02,15.346153846153847,15.02014652014652,14.714285714285714,0.6318681318681332,Server count x patience.,factorial,16.0,14.333333333333334,13.0,3.0,,,,,,,,,,,,,14.0,13.0,12.0,2.0,44.0,39.333333333333336,34.0,10.0,2.0,2.0,2.0,0.0,F4,4.0,3.0,2.0,2.0,14.0,13.0,12.0,2.0,15.0,13.666666666666666,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,3,28.0,26.333333333333332,25.0,3.0,0.34974093264248707,0.3148527386752058,0.2816593886462882,0.06808154399619887,0.64,0.5961172161172161,0.5714285714285714,0.06857142857142862,0.6656038262255879,0.6320618851121637,0.596573731944911,0.06903009428067686,0.6963730569948187,0.6710257543081634,0.6314410480349345,0.06493200895988416,0.6390328151986183,0.5948810065830987,0.5342066957787481,0.10482611941987019,0.6965065502183406,0.6461948477093588,0.5736842105263158,0.12282233969202483
0.0,0.0,0.0,0.0,14.0,13.333333333333334,12.0,2.0,0.038461538461538464,0.012820512820512822,0.0,0.038461538461538464,15.615384615384615,14.876373626373626,14.321428571428571,1.2939560439560438,Server count x patience.,factorial,16.0,14.333333333333334,13.0,3.0,,,,,,,,,,,,,16.0,14.0,13.0,3.0,43.0,40.333333333333336,36.0,7.0,2.0,2.0,2.0,0.0,F4,1.0,0.3333333333333333,0.0,1.0,16.0,14.0,13.0,3.0,14.0,13.333333333333334,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,3,28.0,26.666666666666668,26.0,2.0,0.16304347826086957,0.15537260247763907,0.14727722772277227,0.0157662505380973,0.6153846153846154,0.575091575091575,0.5384615384615384,0.07692307692307698,0.6521739130434783,0.631561260919849,0.6179858788554441,0.03418803418803418,0.6985507246376812,0.6460914207362766,0.5951690821256038,0.10338164251207738,0.6400966183574879,0.6224058396177782,0.5909822866344605,0.04911433172302737,0.7198067632850241,0.6227021252849922,0.5396039603960396,0.1802028028889845
0.0,0.0,0.0,0.0,16.0,15.333333333333334,15.0,1.0,0.875,0.3112745098039216,0.0,0.875,14.352941176470589,13.513480392156863,12.0,2.3529411764705888,Reservation policy x table scarcity.,factorial,17.0,13.666666666666666,12.0,5.0,5.0,4.0,2.0,3.0,6.0,4.0,3.0,3.0,7.0,5.666666666666667,4.0,3.0,,,,,63.0,55.333333333333336,47.0,16.0,4.0,3.3333333333333335,3.0,1.0,F5,3.0,1.3333333333333333,0.0,3.0,17.0,13.666666666666666,12.0,5.0,16.0,15.333333333333334,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,3,17.0,16.666666666666668,16.0,1.0,0.15194610778443113,0.14559496452977405,0.1353211009174312,0.016625006866999942,0.875,0.821078431372549,0.7647058823529411,0.11029411764705888,0.4662379421221865,0.44531484720869075,0.4272224781206817,0.039015464001504796,0.5331189710610933,0.4360764336200702,0.3341317365269461,0.19898723453414718,0.5,0.43716628809109415,0.3889908256880734,0.11100917431192658,0.5341488277268094,0.4742931350523859,0.42765273311897106,0.10649609460783832
0.0,0.0,0.0,0.0,16.0,14.666666666666666,14.0,2.0,0.0625,0.020833333333333332,0.0,0.0625,13.555555555555555,12.55324074074074,10.9375,2.6180555555555554,Reservation policy x table scarcity.,factorial,17.0,14.333333333333334,12.0,5.0,6.0,4.666666666666667,3.0,3.0,6.0,4.0,3.0,3.0,7.0,6.0,5.0,2.0,,,,,66.0,56.666666666666664,50.0,16.0,0.0,0.0,0.0,0.0,F5,1.0,0.3333333333333333,0.0,1.0,15.0,12.333333333333334,11.0,4.0,16.0,14.666666666666666,14.0,2.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B,3,18.0,17.333333333333332,16.0,2.0,0.11356707317073171,0.09941569967574272,0.09203296703296704,0.021534106137764672,0.875,0.8287037037037037,0.7777777777777778,0.09722222222222221,0.4409502262443439,0.4291128646580583,0.4230769230769231,0.017873303167420806,0.4554945054945055,0.41169998581045925,0.35548780487804876,0.10000670061645672,0.4676829268292683,0.4325717491499414,0.3912087912087912,0.07647413562047711,0.4725490196078431,0.45236952191758506,0.42216117216117216,0.050387847446670964
0.0,0.0,0.0,0.0,21.0,20.666666666666668,20.0,1.0,0.18181818181818182,0.09090909090909091,0.0,0.18181818181818182,17.181818181818183,16.015151515151516,14.5,2.6818181818181834,Reservation policy x table scarcity.,factorial,17.0,15.0,12.0,5.0,6.0,5.666666666666667,5.0,1.0,7.0,5.0,3.0,4.0,7.0,6.0,5.0,2.0,,,,,63.0,55.0,46.0,17.0,4.0,3.6666666666666665,3.0,1.0,F5,1.0,0.6666666666666666,0.0,1.0,17.0,15.0,12.0,5.0,21.0,20.666666666666668,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,3,12.0,11.333333333333334,11.0,1.0,0.15194610778443113,0.14478222518492462,0.13288288288288289,0.019063224901548242,0.8181818181818182,0.7651515151515151,0.7272727272727273,0.09090909090909094,0.5196945337620579,0.48968981087100155,0.46621621621621623,0.05347831754584165,0.5755627009646302,0.4671055328582718,0.35728542914171657,0.21827727182291368,0.5658682634730539,0.48041830137766883,0.33733733733733734,0.22853092613571652,0.6561561561561562,0.5374734921300953,0.40836012861736337,0.24779602753879282
0.0,0.0,0.0,0.0,21.0,20.0,19.0,2.0,0.0,0.0,0.0,0.0,20.53846153846154,15.843628593628594,13.083333333333334,7.455128205128206,Reservation policy x table scarcity.,factorial,17.0,15.333333333333334,12.0,5.0,7.0,6.333333333333333,5.0,2.0,6.0,4.333333333333333,3.0,3.0,7.0,6.333333333333333,6.0,1.0,,,,,66.0,53.333333333333336,44.0,22.0,0.0,0.0,0.0,0.0,F5,0.0,0.0,0.0,0.0,14.0,12.666666666666666,11.0,3.0,21.0,20.0,19.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,3,13.0,12.0,11.0,2.0,0.11356707317073171,0.10487612382548726,0.09264705882352942,0.020920014347202295,0.8181818181818182,0.7534965034965035,0.6923076923076923,0.12587412587412594,0.5335760517799353,0.515632177470404,0.4919969512195122,0.04157910056042308,0.4843581445523193,0.4356676040584887,0.3638211382113821,0.12053700634093717,0.6364617044228694,0.5839656342975004,0.5392156862745098,0.09724601814835965,0.5882352941176471,0.5330788523476326,0.45307443365695793,0.13516086046068915
